utc_datetime,impact,currency,event,actual,forecast,previous
2017-11-01T00:01:00Z,Low Impact Expected,GBP,BRC Shop Price Index y/y,-0.1%,,-0.1%
2017-11-01T00:30:00Z,Low Impact Expected,JPY,Final Manufacturing PMI,52.8,52.5,52.5
2017-11-01T01:45:00Z,Medium Impact Expected,CNY,Caixin Manufacturing PMI,51.0,51.0,51.0
2017-11-01T03:45:00Z,Low Impact Expected,JPY,10-y Bond Auction,0.06|4.6,,0.08|4.1
2017-11-01T05:30:00Z,Low Impact Expected,AUD,Commodity Prices y/y,9.1%,,19.4%
2017-11-01T07:00:00Z,Low Impact Expected,GBP,Nationwide HPI m/m,0.2%,0.2%,0.4%
2017-11-01,Non-Economic,EUR,French Bank Holiday,,,
2017-11-01,Non-Economic,EUR,Italian Bank Holiday,,,
2017-11-01T08:30:00Z,Low Impact Expected,CHF,Manufacturing PMI,62.0,61.4,61.7
2017-11-01T09:30:00Z,High Impact Expected,GBP,Final Manufacturing PMI,56.3,55.8,56.0
2017-11-01T12:15:00Z,High Impact Expected,USD,ADP Non-Farm Employment Change,235K,202K,110K
2017-11-01T13:00:00Z,,,,,,
2017-11-01T13:30:00Z,Low Impact Expected,CAD,Manufacturing PMI,54.3,,55.0
2017-11-01T13:45:00Z,Low Impact Expected,USD,Final Manufacturing PMI,54.6,54.5,54.5
2017-11-01T14:00:00Z,High Impact Expected,USD,ISM Manufacturing PMI,58.7,59.5,60.8
2017-11-01T13:00:00Z,Low Impact Expected,USD,Construction Spending m/m,0.3%,-0.1%,0.1%
2017-11-01T13:00:00Z,Low Impact Expected,USD,ISM Manufacturing Prices,68.5,68.0,71.5
2017-11-02,Low Impact Expected,USD,Wards Total Vehicle Sales,18.0M,17.5M,18.5M
2017-11-01T14:30:00Z,High Impact Expected,USD,Crude Oil Inventories,-2.4M,-1.5M,0.9M
2017-11-02,Low Impact Expected,USD,Total Vehicle Sales,18.1M,17.5M,18.6M
2017-11-01T17:15:00Z,Medium Impact Expected,CHF,Gov Board Member Zurbrugg Speaks,,,
2017-11-01T18:00:00Z,High Impact Expected,USD,FOMC Statement,,,
2017-11-01T13:00:00Z,Medium Impact Expected,USD,Federal Funds Rate,1.25%,1.25%,1.25%
2017-11-01T20:15:00Z,High Impact Expected,CAD,BOC Gov Poloz Speaks,,,
2017-11-01T23:50:00Z,Low Impact Expected,JPY,Monetary Base y/y,14.5%,15.7%,15.6%
2017-11-02T00:30:00Z,High Impact Expected,AUD,Goods Trade Balance,1.75B,1.42B,0.87B
2017-11-01T13:00:00Z,Medium Impact Expected,AUD,Building Approvals m/m,1.5%,-0.9%,0.1%
2017-11-02T05:00:00Z,Low Impact Expected,JPY,Consumer Confidence,44.5,43.6,43.9
2017-11-02T06:45:00Z,Low Impact Expected,CHF,SECO Consumer Climate,-2,0,-3
2017-11-02T08:15:00Z,Low Impact Expected,CHF,Retail Sales y/y,-0.4%,0.3%,-1.0%
2017-11-01T13:00:00Z,Low Impact Expected,EUR,Spanish Manufacturing PMI,55.8,54.8,54.3
2017-11-02T08:45:00Z,Low Impact Expected,EUR,Italian Manufacturing PMI,57.8,56.6,56.3
2017-11-02T08:50:00Z,Low Impact Expected,EUR,French Final Manufacturing PMI,56.1,56.7,56.7
2017-11-02T08:55:00Z,Low Impact Expected,EUR,German Final Manufacturing PMI,60.6,60.5,60.5
2017-11-01T13:00:00Z,Low Impact Expected,EUR,German Unemployment Change,-11K,-10K,-22K
2017-11-02T09:00:00Z,Low Impact Expected,EUR,Final Manufacturing PMI,58.5,58.6,58.6
2017-11-02T09:30:00Z,High Impact Expected,GBP,Construction PMI,50.8,48.3,48.1
2017-11-02T09:44:00Z,Low Impact Expected,EUR,Spanish 10-y Bond Auction,1.46|1.3,,1.63|1.8
2017-11-02T10:00:00Z,Low Impact Expected,EUR,French 10-y Bond Auction,0.76|1.6,,0.88|1.9
2017-11-02T11:30:00Z,Low Impact Expected,USD,Challenger Job Cuts y/y,-3.0%,,-27.0%
2017-11-02T12:00:00Z,High Impact Expected,GBP,BOE Monetary Policy Report,,,
2017-11-01T13:00:00Z,High Impact Expected,GBP,Monetary Policy Summary,,,
2017-11-01T13:00:00Z,High Impact Expected,GBP,MPC Official Bank Rate Votes,7-0-2,6-0-3,2-0-7
2017-11-01T13:00:00Z,High Impact Expected,GBP,Official Bank Rate,0.50%,0.50%,0.25%
2017-11-01T13:00:00Z,Medium Impact Expected,GBP,Asset Purchase Facility,435B,435B,435B
2017-11-01T13:00:00Z,Medium Impact Expected,GBP,MPC Asset Purchase Facility Votes,0-0-9,0-0-9,0-0-9
2017-11-02T12:30:00Z,High Impact Expected,GBP,BOE Gov Carney Speaks,,,
2017-11-01T13:00:00Z,High Impact Expected,USD,Unemployment Claims,229K,235K,234K
2017-11-01T13:00:00Z,Medium Impact Expected,USD,FOMC Member Powell Speaks,,,
2017-11-01T13:00:00Z,Medium Impact Expected,USD,Prelim Nonfarm Productivity q/q,3.0%,2.5%,1.5%
2017-11-01T13:00:00Z,Medium Impact Expected,USD,Prelim Unit Labor Costs q/q,0.5%,0.5%,0.2%
2017-11-02T13:00:00Z,,,,,,
2017-11-02T14:30:00Z,Low Impact Expected,USD,Natural Gas Storage,65B,63B,64B
2017-11-02T16:20:00Z,Medium Impact Expected,USD,FOMC Member Dudley Speaks,,,
2017-11-02T22:30:00Z,Low Impact Expected,AUD,AIG Services Index,51.4,,52.1
2017-11-03,Non-Economic,JPY,Bank Holiday,,,
2017-11-03T00:30:00Z,High Impact Expected,AUD,Retail Sales m/m,0.0%,0.4%,-0.5%
2017-11-03T01:45:00Z,Medium Impact Expected,CNY,Caixin Services PMI,51.2,50.8,50.6
2017-11-03T09:00:00Z,Medium Impact Expected,EUR,Spanish Unemployment Change,56.8K,44.6K,27.9K
2017-11-03T09:30:00Z,High Impact Expected,GBP,Final Services PMI,55.6,53.3,53.6
2017-11-03T12:30:00Z,High Impact Expected,CAD,Employment Change,35.3K,15.3K,10.0K
2017-11-02T13:00:00Z,High Impact Expected,CAD,Trade Balance,-3.2B,-3.0B,-3.2B
2017-11-02T13:00:00Z,High Impact Expected,CAD,Unemployment Rate,6.3%,6.2%,6.2%
2017-11-02T13:00:00Z,High Impact Expected,USD,Average Hourly Earnings m/m,0.0%,0.2%,0.5%
2017-11-02T13:00:00Z,High Impact Expected,USD,Non-Farm Employment Change,261K,312K,18K
2017-11-02T13:00:00Z,High Impact Expected,USD,Unemployment Rate,4.1%,4.2%,4.2%
2017-11-02T13:00:00Z,Medium Impact Expected,USD,Trade Balance,-43.5B,-43.3B,-42.8B
2017-11-03T13:00:00Z,,,,,,
2017-11-03T13:45:00Z,Low Impact Expected,USD,Final Services PMI,55.3,55.7,55.9
2017-11-03T14:00:00Z,High Impact Expected,USD,ISM Services PMI,60.1,58.5,59.8
2017-11-03T13:00:00Z,Medium Impact Expected,USD,Factory Orders m/m,1.4%,1.3%,1.2%
2017-11-03T16:15:00Z,Medium Impact Expected,USD,FOMC Member Kashkari Speaks,,,
2017-11-04T13:00:00Z,,,,,,
2017-11-05T07:00:00Z,Non-Economic,CAD,Daylight Saving Time Shift,,,
2017-11-04T13:00:00Z,Non-Economic,USD,Daylight Saving Time Shift,,,
2017-11-05T13:00:00Z,,,,,,
2017-11-05T23:50:00Z,Low Impact Expected,JPY,Monetary Policy Meeting Minutes,,,
2017-11-06T00:00:00Z,Low Impact Expected,AUD,MI Inflation Gauge m/m,0.3%,,0.3%
2017-11-05T13:00:00Z,Low Impact Expected,NZD,ANZ Commodity Prices m/m,-0.3%,,0.8%
2017-11-06T00:30:00Z,Low Impact Expected,AUD,ANZ Job Advertisements m/m,1.4%,,-0.7%
2017-11-06T01:00:00Z,High Impact Expected,JPY,BOJ Gov Kuroda Speaks,,,
2017-11-06T02:00:00Z,High Impact Expected,NZD,Inflation Expectations q/q,2.02%,,2.09%
2017-11-06T07:00:00Z,Low Impact Expected,EUR,German Factory Orders m/m,1.0%,-1.0%,4.1%
2017-11-06T08:15:00Z,Low Impact Expected,CHF,CPI m/m,0.1%,0.1%,0.2%
2017-11-05T13:00:00Z,Low Impact Expected,EUR,Spanish Services PMI,54.6,55.7,56.7
2017-11-06T08:45:00Z,Low Impact Expected,EUR,Italian Services PMI,52.1,53.1,53.2
2017-11-06T08:50:00Z,Low Impact Expected,EUR,French Final Services PMI,57.3,57.4,57.4
2017-11-06T08:55:00Z,Low Impact Expected,EUR,German Final Services PMI,54.7,55.2,55.2
2017-11-06T09:00:00Z,Low Impact Expected,EUR,Final Services PMI,55.0,54.9,54.9
2017-11-06T09:30:00Z,Low Impact Expected,EUR,Sentix Investor Confidence,34.0,31.2,29.7
2017-11-06T10:00:00Z,Low Impact Expected,EUR,PPI m/m,0.6%,0.4%,0.3%
2017-11-06,Medium Impact Expected,EUR,Eurogroup Meetings,,,
2017-11-06T13:00:00Z,,,,,,
2017-11-06T15:00:00Z,Medium Impact Expected,CAD,Ivey PMI,63.8,60.2,59.6
2017-11-06T17:10:00Z,Medium Impact Expected,USD,FOMC Member Dudley Speaks,,,
2017-11-06T19:00:00Z,Low Impact Expected,USD,Loan Officer Survey,,,
2017-11-06T22:30:00Z,Low Impact Expected,AUD,AIG Construction Index,53.2,,54.7
2017-11-07T00:00:00Z,Low Impact Expected,JPY,Average Cash Earnings y/y,0.9%,0.6%,0.7%
2017-11-07T00:01:00Z,Low Impact Expected,GBP,BRC Retail Sales Monitor y/y,-1.0%,,1.9%
2017-11-07T03:30:00Z,High Impact Expected,AUD,RBA Rate Statement,,,
2017-11-06T13:00:00Z,Medium Impact Expected,AUD,Cash Rate,1.50%,1.50%,1.50%
